id;valor;data;posto
5505700;0.0;2022-05-31;72
5505699;0.0;2022-05-30;72
5505698;0.0;2022-05-29;72
5505697;0.0;2022-05-28;72
5505696;28.0;2022-05-27;72
5502561;0.0;2022-05-26;72
5502560;0.0;2022-05-25;72
5502559;0.0;2022-05-24;72
5501252;0.0;2022-05-23;72
5501251;7.0;2022-05-22;72
5499468;68.0;2022-05-21;72
5499485;0.0;2022-05-20;72
5499484;0.0;2022-05-19;72
5499483;0.0;2022-05-18;72
5499482;0.0;2022-05-17;72
5499481;0.0;2022-05-16;72
5499480;0.0;2022-05-15;72
5499479;0.0;2022-05-14;72
5499478;0.0;2022-05-13;72
5499477;0.0;2022-05-12;72
5499476;0.0;2022-05-11;72
5499475;0.0;2022-05-10;72
5499474;0.0;2022-05-09;72
5499473;0.0;2022-05-08;72
5499472;0.0;2022-05-07;72
5499471;0.0;2022-05-06;72
5491791;2.0;2022-05-05;72
5491033;27.0;2022-05-04;72
5490662;0.0;2022-05-03;72
5489870;0.0;2022-05-02;72
5489869;0.0;2022-05-01;72
5489868;0.0;2022-04-30;72
5489867;0.0;2022-04-29;72
5488135;0.0;2022-04-28;72
5488134;0.0;2022-04-27;72
5486887;0.0;2022-04-26;72
5485938;2.0;2022-04-25;72
5485937;8.0;2022-04-24;72
5484713;36.0;2022-04-23;72
5484712;0.0;2022-04-22;72
5484711;0.0;2022-04-21;72
5484710;0.0;2022-04-20;72
5483158;0.0;2022-04-19;72
5481357;14.0;2022-04-18;72
5481356;0.0;2022-04-17;72
5481355;0.0;2022-04-16;72
5481354;0.0;2022-04-15;72
5481353;0.0;2022-04-14;72
5481352;0.0;2022-04-13;72
5479343;6.0;2022-04-12;72
5479018;0.0;2022-04-11;72
5479017;0.0;2022-04-10;72
5479016;0.0;2022-04-09;72
5477352;8.0;2022-04-08;72
5476871;14.0;2022-04-07;72
5476870;0.0;2022-04-06;72
5476869;19.0;2022-04-05;72
5476868;0.0;2022-04-04;72
5476867;0.0;2022-04-03;72
5474138;15.0;2022-04-02;72
5474146;0.0;2022-04-01;72
5474145;0.0;2022-03-31;72
5474144;0.0;2022-03-30;72
5474143;6.0;2022-03-29;72
5474142;0.0;2022-03-28;72
5474141;0.0;2022-03-27;72
5470614;0.0;2022-03-26;72
5470613;0.0;2022-03-25;72
5469497;17.0;2022-03-24;72
5468981;2.0;2022-03-23;72
5468310;7.5;2022-03-22;72
5474140;0.0;2022-03-21;72
5474139;0.0;2022-03-20;72
5467147;0.0;2022-03-19;72
5467146;0.0;2022-03-18;72
5466030;8.0;2022-03-17;72
5465159;11.0;2022-03-16;72
5464103;10.0;2022-03-15;72
5464102;0.0;2022-03-14;72
5464101;17.0;2022-03-13;72
5462261;17.0;2022-03-12;72
5462130;0.0;2022-03-11;72
5460942;6.0;2022-03-10;72
5460755;0.0;2022-03-09;72
5460229;0.0;2022-03-08;72
5460228;26.0;2022-03-07;72
5460227;24.5;2022-03-06;72
5460226;0.0;2022-03-05;72
5457498;6.0;2022-03-04;72
5457497;0.0;2022-03-03;72
5456738;3.0;2022-03-02;72
5456737;0.0;2022-03-01;72
5456736;0.0;2022-02-28;72
5453827;0.0;2022-02-27;72
5453552;0.0;2022-02-26;72
5453551;0.0;2022-02-25;72
5452589;0.0;2022-02-24;72
5452588;0.0;2022-02-23;72
5452587;0.0;2022-02-22;72
5452586;0.0;2022-02-21;72
5449852;0.0;2022-02-20;72
5449851;0.0;2022-02-19;72
5449850;0.0;2022-02-18;72
5449849;0.0;2022-02-17;72
5449848;0.0;2022-02-16;72
5447142;3.5;2022-02-15;72
5446969;0.0;2022-02-14;72
5446968;0.0;2022-02-13;72
5446967;0.0;2022-02-12;72
5446966;0.0;2022-02-11;72
5444571;0.0;2022-02-10;72
5444165;0.0;2022-02-09;72
5444164;0.0;2022-02-08;72
5444163;0.0;2022-02-07;72
5444162;0.0;2022-02-06;72
5444161;0.0;2022-02-05;72
5441128;0.0;2022-02-04;72
5439716;0.0;2022-02-03;72
5439715;0.0;2022-02-02;72
5439714;0.0;2022-02-01;72
5438289;0.0;2022-01-31;72
5438288;0.0;2022-01-30;72
5438287;0.0;2022-01-29;72
5435887;20.0;2022-01-28;72
5435886;0.0;2022-01-27;72
5435885;0.0;2022-01-26;72
5433200;0.0;2022-01-25;72
5433199;0.0;2022-01-24;72
5433198;0.0;2022-01-23;72
5431684;0.0;2022-01-22;72
5431336;0.0;2022-01-21;72
5431048;0.0;2022-01-20;72
5430490;0.0;2022-01-19;72
5430109;0.0;2022-01-18;72
5430108;0.0;2022-01-17;72
5430107;8.0;2022-01-16;72
5428616;12.0;2022-01-15;72
5427600;13.0;2022-01-14;72
5427599;0.0;2022-01-13;72
5426783;0.0;2022-01-12;72
5426105;5.0;2022-01-11;72
5426104;0.0;2022-01-10;72
5424204;0.0;2022-01-09;72
5424203;0.0;2022-01-08;72
5424202;0.0;2022-01-07;72
5422449;0.0;2022-01-06;72
5422448;3.0;2022-01-05;72
5421367;0.0;2022-01-04;72
5421366;0.0;2022-01-03;72
5421365;0.0;2022-01-02;72
5418998;0.0;2022-01-01;72
5418414;22.0;2021-12-31;72
5418413;0.0;2021-12-30;72
5417725;0.0;2021-12-29;72
5417724;0.0;2021-12-28;72
